2017-02-16 09:01:48,781 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,785 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,788 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,791 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,793 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,794 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,927 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,929 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,933 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,936 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,937 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,943 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,945 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,948 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,949 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,954 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,957 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,960 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,961 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,964 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,965 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,968 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,969 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,970 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,971 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,971 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,972 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,972 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,973 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,009 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,012 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,974 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,020 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,977 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,978 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,978 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,028 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,981 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,994 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,994 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,995 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,995 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,996 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,997 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,996 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,047 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,007 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,976 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,974 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,013 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,014 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,014 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,015 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,015 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,016 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,017 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,976 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,979 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,040 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,006 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,050 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,050 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,051 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,051 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,052 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,052 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,053 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,128 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,054 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,054 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,055 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,055 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,056 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,056 - realTime_ny1.py:88 - logging - get buzz fail, retry...
